car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,957.0,1697.0,636.0,591.0,2290,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,27,32,7898.0
156,0,toyota carina,gas,std,four,wagon,4wd,front,957.0,1697.0,636.0,591.0,3110,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,27,32,8778.0
157,0,toyota mark ii,gas,std,four,sedan,fwd,front,957.0,1663.0,644.0,53.0,2081,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,30,37,6938.0
158,0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,957.0,1663.0,644.0,528.0,2109,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,30,37,7198.0
159,0,toyota corona,diesel,std,four,sedan,fwd,front,957.0,1663.0,644.0,53.0,2275,ohc,four,110,idi,327.0,335.0,225.0,56,4500,34,36,7898.0
160,0,toyota corolla,diesel,std,four,hatchback,fwd,front,957.0,1663.0,644.0,528.0,2275,ohc,four,110,idi,327.0,335.0,225.0,56,4500,38,47,7788.0
161,0,toyota corona,gas,std,four,sedan,fwd,front,957.0,1663.0,644.0,53.0,2094,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,38,47,7738.0
162,0,toyota corolla,gas,std,four,hatchback,fwd,front,957.0,1663.0,644.0,528.0,2122,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,28,34,8358.0
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,957.0,1663.0,644.0,528.0,2140,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,28,34,9258.0
164,1,toyota corolla liftback,gas,std,two,sedan,rwd,front,945.0,1687.0,64.0,526.0,2169,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,29,34,8058.0
165,1,toyota corona,gas,std,two,hatchback,rwd,front,945.0,1687.0,64.0,526.0,2204,ohc,four,98,2bbl,319.0,303.0,9.0,70,4800,29,34,8238.0
166,1,toyota celica gt liftback,gas,std,two,sedan,rwd,front,945.0,1687.0,64.0,526.0,2265,dohc,four,98,mpfi,324.0,308.0,94.0,112,6600,26,29,9298.0
167,1,toyota corolla tercel,gas,std,two,hatchback,rwd,front,945.0,1687.0,64.0,526.0,2300,dohc,four,98,mpfi,324.0,308.0,94.0,112,6600,26,29,9538.0
168,2,toyota corona liftback,gas,std,two,hardtop,rwd,front,984.0,1762.0,656.0,52.0,2540,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,8449.0
169,2,toyota corolla,gas,std,two,hardtop,rwd,front,984.0,1762.0,656.0,52.0,2536,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,9639.0
170,2,toyota starlet,gas,std,two,hatchback,rwd,front,984.0,1762.0,656.0,52.0,2551,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,9989.0
171,2,toyota tercel,gas,std,two,hardtop,rwd,front,984.0,1762.0,656.0,52.0,2679,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,11199.0
172,2,toyota corolla,gas,std,two,hatchback,rwd,front,984.0,1762.0,656.0,52.0,2714,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,11549.0
173,2,toyota cressida,gas,std,two,convertible,rwd,front,984.0,1762.0,656.0,53.0,2975,ohc,four,146,mpfi,362.0,35.0,93.0,116,4800,24,30,17669.0
174,-1,toyota corolla,gas,std,four,sedan,fwd,front,1024.0,1756.0,665.0,549.0,2326,ohc,four,122,mpfi,331.0,354.0,87.0,92,4200,29,34,8948.0
175,-1,toyota celica gt,diesel,turbo,four,sedan,fwd,front,1024.0,1756.0,665.0,549.0,2480,ohc,four,110,idi,327.0,335.0,225.0,73,4500,30,33,10698.0
176,-1,toyota corona,gas,std,four,hatchback,fwd,front,1024.0,1756.0,665.0,539.0,2414,ohc,four,122,mpfi,331.0,354.0,87.0,92,4200,27,32,9988.0
177,-1,toyota corolla,gas,std,four,sedan,fwd,front,1024.0,1756.0,665.0,549.0,2414,ohc,four,122,mpfi,331.0,354.0,87.0,92,4200,27,32,10898.0
178,-1,toyota mark ii,gas,std,four,hatchback,fwd,front,1024.0,1756.0,665.0,539.0,2458,ohc,four,122,mpfi,331.0,354.0,87.0,92,4200,27,32,11248.0
179,3,toyota corolla liftback,gas,std,two,hatchback,rwd,front,1029.0,1835.0,677.0,52.0,2976,dohc,six,171,mpfi,327.0,335.0,93.0,161,5200,20,24,16558.0
180,3,toyota corona,gas,std,two,hatchback,rwd,front,1029.0,1835.0,677.0,52.0,3016,dohc,six,171,mpfi,327.0,335.0,93.0,161,5200,19,24,15998.0
181,-1,toyota starlet,gas,std,four,sedan,rwd,front,1045.0,1878.0,665.0,541.0,3131,dohc,six,171,mpfi,327.0,335.0,92.0,156,5200,20,24,15690.0
182,-1,toyouta tercel,gas,std,four,wagon,rwd,front,1045.0,1878.0,665.0,541.0,3151,dohc,six,161,mpfi,327.0,335.0,92.0,156,5200,19,24,15750.0
183,2,vokswagen rabbit,diesel,std,two,sedan,fwd,front,973.0,1717.0,655.0,557.0,2261,ohc,four,97,idi,301.0,34.0,23.0,52,4800,37,46,7775.0
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,973.0,1717.0,655.0,557.0,2209,ohc,four,109,mpfi,319.0,34.0,9.0,85,5250,27,34,7975.0
185,2,volkswagen model 111,diesel,std,four,sedan,fwd,front,973.0,1717.0,655.0,557.0,2264,ohc,four,97,idi,301.0,34.0,23.0,52,4800,37,46,7995.0
186,2,volkswagen type 3,gas,std,four,sedan,fwd,front,973.0,1717.0,655.0,557.0,2212,ohc,four,109,mpfi,319.0,34.0,9.0,85,5250,27,34,8195.0
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,973.0,1717.0,655.0,557.0,2275,ohc,four,109,mpfi,319.0,34.0,9.0,85,5250,27,34,8495.0
188,2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,973.0,1717.0,655.0,557.0,2319,ohc,four,97,idi,301.0,34.0,23.0,68,4500,37,42,9495.0
189,2,volkswagen dasher,gas,std,four,sedan,fwd,front,973.0,1717.0,655.0,557.0,2300,ohc,four,109,mpfi,319.0,34.0,10.0,100,5500,26,32,9995.0
190,3,vw dasher,gas,std,two,convertible,fwd,front,945.0,1593.0,642.0,556.0,2254,ohc,four,109,mpfi,319.0,34.0,85.0,90,5500,24,29,11595.0
191,3,vw rabbit,gas,std,two,hatchback,fwd,front,945.0,1657.0,64.0,514.0,2221,ohc,four,109,mpfi,319.0,34.0,85.0,90,5500,24,29,9980.0
192,0,volkswagen rabbit,gas,std,four,sedan,fwd,front,1004.0,1802.0,669.0,551.0,2661,ohc,five,136,mpfi,319.0,34.0,85.0,110,5500,19,24,13295.0
193,0,volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,1004.0,1802.0,669.0,551.0,2579,ohc,four,97,idi,301.0,34.0,23.0,68,4500,33,38,13845.0
194,0,volkswagen dasher,gas,std,four,wagon,fwd,front,1004.0,1831.0,669.0,551.0,2563,ohc,four,109,mpfi,319.0,34.0,9.0,88,5500,25,31,12290.0
195,-2,volvo 145e (sw),gas,std,four,sedan,rwd,front,1043.0,1888.0,672.0,562.0,2912,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,23,28,12940.0
196,-1,volvo 144ea,gas,std,four,wagon,rwd,front,1043.0,1888.0,672.0,575.0,3034,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,23,28,13415.0
197,-2,volvo 244dl,gas,std,four,sedan,rwd,front,1043.0,1888.0,672.0,562.0,2935,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,24,28,15985.0
198,-1,volvo 245,gas,std,four,wagon,rwd,front,1043.0,1888.0,672.0,575.0,3042,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,24,28,16515.0
199,-2,volvo 264gl,gas,turbo,four,sedan,rwd,front,1043.0,1888.0,672.0,562.0,3045,ohc,four,130,mpfi,362.0,315.0,75.0,162,5100,17,22,18420.0
200,-1,volvo diesel,gas,turbo,four,wagon,rwd,front,1043.0,1888.0,672.0,575.0,3157,ohc,four,130,mpfi,362.0,315.0,75.0,162,5100,17,22,18950.0
201,-1,volvo 145e (sw),gas,std,four,sedan,rwd,front,1091.0,1888.0,689.0,555.0,2952,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,23,28,16845.0
202,-1,volvo 144ea,gas,turbo,four,sedan,rwd,front,1091.0,1888.0,688.0,555.0,3049,ohc,four,141,mpfi,378.0,315.0,87.0,160,5300,19,25,19045.0
203,-1,volvo 244dl,gas,std,four,sedan,rwd,front,1091.0,1888.0,689.0,555.0,3012,ohcv,six,173,mpfi,358.0,287.0,88.0,134,5500,18,23,21485.0
204,-1,volvo 246,diesel,turbo,four,sedan,rwd,front,1091.0,1888.0,689.0,555.0,3217,ohc,six,145,idi,301.0,34.0,23.0,106,4800,26,27,22470.0
205,-1,volvo 264gl,gas,turbo,four,sedan,rwd,front,1091.0,1888.0,689.0,555.0,3062,ohc,four,141,mpfi,378.0,315.0,95.0,114,5400,19,25,22625.0
